siteID,plotID,siteName,plotType,longitude,latitude,elevation,Year,Landsat_NPP
CPER,CPER_056,Central Plains Experimental Range NEON,tower,-104.748161,40.816756,1652.05,2017,2130.863309352518
CPER,CPER_056,Central Plains Experimental Range NEON,tower,-104.748161,40.816756,1652.05,2018,1825.9424460431655
CPER,CPER_056,Central Plains Experimental Range NEON,tower,-104.748161,40.816756,1652.05,2019,1974.4676258992806
CPER,CPER_056,Central Plains Experimental Range NEON,tower,-104.748161,40.816756,1652.05,2013,1572.9712230215828
CPER,CPER_056,Central Plains Experimental Range NEON,tower,-104.748161,40.816756,1652.05,2014,2589.9712230215823
CPER,CPER_056,Central Plains Experimental Range NEON,tower,-104.748161,40.816756,1652.05,2015,2463.1870503597124
CPER,CPER_056,Central Plains Experimental Range NEON,tower,-104.748161,40.816756,1652.05,2020,1376.9424460431655
CPER,CPER_057,Central Plains Experimental Range NEON,tower,-104.74493,40.817822,1650.25,2016,1900.6508875739644
CPER,CPER_057,Central Plains Experimental Range NEON,tower,-104.74493,40.817822,1650.25,2017,2133.7869822485204
CPER,CPER_057,Central Plains Experimental Range NEON,tower,-104.74493,40.817822,1650.25,2018,1796.92899408284
CPER,CPER_057,Central Plains Experimental Range NEON,tower,-104.74493,40.817822,1650.25,2019,1849.0650887573963
CPER,CPER_057,Central Plains Experimental Range NEON,tower,-104.74493,40.817822,1650.25,2013,1551.3076923076924
CPER,CPER_057,Central Plains Experimental Range NEON,tower,-104.74493,40.817822,1650.25,2014,2426.5384615384614
CPER,CPER_057,Central Plains Experimental Range NEON,tower,-104.74493,40.817822,1650.25,2015,2416.437869822485
CPER,CPER_057,Central Plains Experimental Range NEON,tower,-104.74493,40.817822,1650.25,2020,1401.2721893491123
CPER,CPER_058,Central Plains Experimental Range NEON,tower,-104.745646,40.820271,1647.01,2016,1859.7133333333334
CPER,CPER_058,Central Plains Experimental Range NEON,tower,-104.745646,40.820271,1647.01,2017,2063.0400000000004
CPER,CPER_058,Central Plains Experimental Range NEON,tower,-104.745646,40.820271,1647.01,2018,1740.4799999999998
CPER,CPER_058,Central Plains Experimental Range NEON,tower,-104.745646,40.820271,1647.01,2019,1868.1933333333334
CPER,CPER_058,Central Plains Experimental Range NEON,tower,-104.745646,40.820271,1647.01,2013,1629.7933333333335
CPER,CPER_058,Central Plains Experimental Range NEON,tower,-104.745646,40.820271,1647.01,2014,2329.166666666667
CPER,CPER_058,Central Plains Experimental Range NEON,tower,-104.745646,40.820271,1647.01,2015,2274.713333333333
CPER,CPER_058,Central Plains Experimental Range NEON,tower,-104.745646,40.820271,1647.01,2020,1295.3666666666668
CPER,CPER_059,Central Plains Experimental Range NEON,tower,-104.748855,40.817554,1651.3,2016,1838.2999999999997
CPER,CPER_059,Central Plains Experimental Range NEON,tower,-104.748855,40.817554,1651.3,2017,2084.35
CPER,CPER_059,Central Plains Experimental Range NEON,tower,-104.748855,40.817554,1651.3,2018,1876.05
CPER,CPER_059,Central Plains Experimental Range NEON,tower,-104.748855,40.817554,1651.3,2019,2056.1
CPER,CPER_059,Central Plains Experimental Range NEON,tower,-104.748855,40.817554,1651.3,2013,1584.45
CPER,CPER_059,Central Plains Experimental Range NEON,tower,-104.748855,40.817554,1651.3,2014,2730.9999999999995
CPER,CPER_059,Central Plains Experimental Range NEON,tower,-104.748855,40.817554,1651.3,2015,2569.6499999999996
CPER,CPER_059,Central Plains Experimental Range NEON,tower,-104.748855,40.817554,1651.3,2020,1458.6999999999998
CPER,CPER_060,Central Plains Experimental Range NEON,tower,-104.746358,40.817273,1653.04,2016,1807.3525179856117
CPER,CPER_060,Central Plains Experimental Range NEON,tower,-104.746358,40.817273,1653.04,2017,2091.0719424460435
CPER,CPER_060,Central Plains Experimental Range NEON,tower,-104.746358,40.817273,1653.04,2018,1855.4748201438847
CPER,CPER_060,Central Plains Experimental Range NEON,tower,-104.746358,40.817273,1653.04,2019,1923.8561151079136
CPER,CPER_060,Central Plains Experimental Range NEON,tower,-104.746358,40.817273,1653.04,2013,1526.1223021582734
CPER,CPER_060,Central Plains Experimental Range NEON,tower,-104.746358,40.817273,1653.04,2014,2476.129496402878
CPER,CPER_060,Central Plains Experimental Range NEON,tower,-104.746358,40.817273,1653.04,2015,2431.438848920863
CPER,CPER_060,Central Plains Experimental Range NEON,tower,-104.746358,40.817273,1653.04,2020,1380.0575539568347
CPER,CPER_061,Central Plains Experimental Range NEON,tower,-104.750648,40.818121,1652.78,2016,1831.766467065868
CPER,CPER_061,Central Plains Experimental Range NEON,tower,-104.750648,40.818121,1652.78,2017,2111.4970059880234
CPER,CPER_061,Central Plains Experimental Range NEON,tower,-104.750648,40.818121,1652.78,2018,1845.8622754491014
CPER,CPER_061,Central Plains Experimental Range NEON,tower,-104.750648,40.818121,1652.78,2019,2035.335329341317
CPER,CPER_061,Central Plains Experimental Range NEON,tower,-104.750648,40.818121,1652.78,2013,1576.0179640718559
CPER,CPER_061,Central Plains Experimental Range NEON,tower,-104.750648,40.818121,1652.78,2014,2740.1676646706583
CPER,CPER_061,Central Plains Experimental Range NEON,tower,-104.750648,40.818121,1652.78,2015,2570.8083832335324
CPER,CPER_061,Central Plains Experimental Range NEON,tower,-104.750648,40.818121,1652.78,2020,1405.077844311377
CPER,CPER_062,Central Plains Experimental Range NEON,tower,-104.747786,40.817267,1651.74,2016,1840.5107913669067
CPER,CPER_062,Central Plains Experimental Range NEON,tower,-104.747786,40.817267,1651.74,2017,2115.2158273381297
CPER,CPER_062,Central Plains Experimental Range NEON,tower,-104.747786,40.817267,1651.74,2018,1883.4028776978416
CPER,CPER_062,Central Plains Experimental Range NEON,tower,-104.747786,40.817267,1651.74,2019,1995.539568345324
CPER,CPER_062,Central Plains Experimental Range NEON,tower,-104.747786,40.817267,1651.74,2013,1575.7553956834536
CPER,CPER_062,Central Plains Experimental Range NEON,tower,-104.747786,40.817267,1651.74,2014,2670.446043165468
CPER,CPER_062,Central Plains Experimental Range NEON,tower,-104.747786,40.817267,1651.74,2015,2539.0503597122306
CPER,CPER_062,Central Plains Experimental Range NEON,tower,-104.747786,40.817267,1651.74,2020,1439.6690647482017
CPER,CPER_063,Central Plains Experimental Range NEON,tower,-104.747802,40.818369,1651.2,2016,1855.063829787234
