siteID,plotID,siteName,plotType,longitude,latitude,elevation,NPP_2016,NPP_2017,NPP_2018,NPP_2019,NPP_2013,NPP_2014,NPP_2015,NPP_2020
STER,STER_014,North Sterling NEON,tower,-103.03113,40.462798,1361.52,5444.616766467067,4768.856287425149,5405.479041916168,6223.880239520959,3000.443113772455,6715.431137724552,6884.017964071857,3619.6766467065872
STER,STER_013,North Sterling NEON,tower,-103.032235,40.461739,1362.67,5330,4109,5626,5975,2857,6499,6634,3588
STER,STER_007,North Sterling NEON,tower,-103.030826,40.461156,1362.31,5396.814285714286,3543.942857142857,6004.899999999999,6243.657142857142,3272.3142857142857,6853.057142857141,6067.3,3797.5
JORN,JORN_063,Jornada Experimental Range NEON,tower,-106.841109,32.592451,1317.4,439.1869918699187,385.31707317073176,134.4878048780488,223.08943089430895,386.00000000000006,412.32520325203257,373.60975609756105,85.60162601626017
JORN,JORN_064,Jornada Experimental Range NEON,tower,-106.844653,32.592698,1323.57,403.9285714285714,387.0238095238095,151.78571428571428,200.5714285714286,358.57142857142856,405.19047619047626,390.14285714285705,49.261904761904766
JORN,JORN_065,Jornada Experimental Range NEON,tower,-106.840473,32.592207,1317.6,426.8344370860927,393.5033112582782,137.83443708609272,222.82781456953646,389.3311258278146,416.52317880794703,371.8476821192053,81.66225165562915
JORN,JORN_066,Jornada Experimental Range NEON,tower,-106.842711,32.592174,1318.79,432.15277777777783,390.8472222222223,155.23611111111111,226.66666666666666,371.83333333333337,398.53472222222223,366.9097222222223,44.611111111111114
JORN,JORN_067,Jornada Experimental Range NEON,tower,-106.840094,32.589495,1321.78,463,402.78399999999993,163.664,233.848,425.13599999999997,403.84799999999996,389.096,83.656
JORN,JORN_046,Jornada Experimental Range NEON,tower,-106.842416,32.593501,1317.82,400.064,368.832,170.504,209.30399999999997,376.64,404.23199999999997,355.54400000000004,41.056
JORN,JORN_048,Jornada Experimental Range NEON,tower,-106.842327,32.58866,1322.5,457.7131782945737,414.93798449612405,169.83720930232556,260.6124031007752,431.3488372093024,463.34883720930236,385.4108527131784,113.48837209302324
JORN,JORN_068,Jornada Experimental Range NEON,tower,-106.839824,32.591391,1316.79,435.31125827814566,388.6754966887417,159.11258278145695,236.3774834437086,401.25165562913907,392.79470198675494,359.76821192052984,106.13245033112584
JORN,JORN_049,Jornada Experimental Range NEON,tower,-106.843048,32.593517,1317.55,411.36423841059593,379.16556291390725,165.86092715231786,204.523178807947,367.8675496688742,413.3443708609271,367.5761589403973,32.49006622516556
JORN,JORN_069,Jornada Experimental Range NEON,tower,-106.842011,32.5892,1323.21,457.0526315789474,398.98496240601503,178.86466165413532,238.22556390977442,435.99248120300746,442.5338345864661,381.66917293233075,104.26315789473682
JORN,JORN_070,Jornada Experimental Range NEON,tower,-106.840734,32.589491,1322.66,466.40000000000003,413.79999999999995,169.40000000000003,241.4,425.40000000000003,423.8,390.6,92.8
JORN,JORN_071,Jornada Experimental Range NEON,tower,-106.841997,32.588114,1323.47,460.6451612903226,411.47580645161287,164.5,253.70967741935482,418.258064516129,419.0967741935483,383.5322580645161,113.20967741935483
JORN,JORN_050,Jornada Experimental Range NEON,tower,-106.842024,32.589742,1322.99,459.29139072847676,398.26490066225165,168.62251655629137,236.6225165562914,427.2384105960264,433.0198675496688,398.7880794701987,94.17218543046357
JORN,JORN_051,Jornada Experimental Range NEON,tower,-106.843359,32.592948,1318.88,419.1381578947368,389.61842105263156,157.98684210526315,218.44078947368422,369.7631578947368,413.6644736842106,387.69736842105266,54.26315789473684
JORN,JORN_052,Jornada Experimental Range NEON,tower,-106.840415,32.58866,1324.15,454.5923076923077,405.6307692307693,184.45384615384617,222.19230769230768,415.86923076923085,423.5615384615385,380.98461538461544,98.45384615384617
JORN,JORN_053,Jornada Experimental Range NEON,tower,-106.841728,32.591098,1316.97,428.82539682539675,381.86507936507934,160.7222222222222,241.76190476190476,383.8650793650794,403.8412698412698,364.38095238095235,88.65873015873015
JORN,JORN_054,Jornada Experimental Range NEON,tower,-106.841054,32.588932,1323.55,457.8541666666667,398.34027777777777,181.90277777777777,229.70833333333334,423.8125,424.52083333333337,375.7847222222222,101.63888888888889
JORN,JORN_055,Jornada Experimental Range NEON,tower,-106.842695,32.591615,1319.91,437.05555555555554,400.07936507936506,167.42857142857144,249.26190476190473,397.5952380952381,409.6587301587302,379.5952380952381,76.14285714285714
JORN,JORN_056,Jornada Experimental Range NEON,tower,-106.841368,32.588388,1323.67,466.15322580645164,412.56451612903226,163.23387096774192,261.60483870967744,430.58870967741933,451.16935483870964,385.74193548387103,119.49193548387098
JORN,JORN_057,Jornada Experimental Range NEON,tower,-106.841085,32.590589,1317.78,446.34437086092714,381.03973509933775,168.0728476821192,254.58278145695363,399.74172185430467,417,388.8543046357616,98.1655629139073
JORN,JORN_058,Jornada Experimental Range NEON,tower,-106.839184,32.591132,1318.51,441.4779411764706,395.1617647058824,170.17647058823528,261.64705882352945,400.3823529411765,397.6764705882353,369.02941176470586,124.71323529411762
JORN,JORN_059,Jornada Experimental Range NEON,tower,-106.844006,32.592969,1321.9,426.096,398.30400000000003,162.68800000000002,229.44,393.28799999999995,437.384,393.47200000000004,77.94399999999999
JORN,JORN_060,Jornada Experimental Range NEON,tower,-106.839474,32.589481,1321.84,462.8805970149254,401.8134328358209,154.11194029850748,232.09701492537314,409.73880597014926,408.4626865671642,397.44776119402985,96.65671641791045
JORN,JORN_061,Jornada Experimental Range NEON,tower,-106.842674,32.591079,1321.64,451.64516129032256,401.2903225806452,172.20967741935485,251.05645161290323,410.58064516129036,425.0806451612903,386.741935483871,87.58064516129033
JORN,JORN_043,Jornada Experimental Range NEON,tower,-106.839841,32.591931,1318.34,433.25657894736844,394.5197368421053,137.42763157894737,224.3092105263158,397.49342105263156,408.9276315789474,376.00657894736844,88.92763157894737
JORN,JORN_062,Jornada Experimental Range NEON,tower,-106.841069,32.590027,1320.59,469.01626016260167,400.6991869918699,165.89430894308944,251.58536585365854,409.7560975609756,421.16260162601634,398.3983739837399,105.07317073170732
ONAQ,ONAQ_058,Onaqui NEON,tower,-112.452485,40.174572,1651.43,716.3062500000001,657.99375,482.04375,801.24375,543.8625,708.7250000000001,798.525,373.51874999999995
ONAQ,ONAQ_064,Onaqui NEON,tower,-112.456717,40.174241,1659.63,757,778,539,947,627,795,918,416
ONAQ,ONAQ_067,Onaqui NEON,tower,-112.457484,40.176672,1665.38,689.6594202898551,708.4275362318841,501.76811594202894,826.0579710144928,551.0144927536232,734.536231884058,816.6594202898551,385.3840579710145
ONAQ,ONAQ_063,Onaqui NEON,tower,-112.456415,40.175884,1661.66,669.5178571428572,674.7142857142857,482.33928571428567,815.625,536.25,707.9821428571429,784.0535714285713,368
ONAQ,ONAQ_053,Onaqui NEON,tower,-112.457435,40.175048,1662.73,716.6402877697841,737.1726618705036,509.820143884892,883.7553956834531,582.2877697841726,766.2589928057553,857.5539568345324,392.82014388489205
ONAQ,ONAQ_060,Onaqui NEON,tower,-112.454669,40.176425,1659.31,691.9512195121952,677.1463414634147,504.90243902439033,818.780487804878,589.0975609756098,731.6829268292684,817.1463414634146,367.70731707317077
ONAQ,ONAQ_061,Onaqui NEON,tower,-112.454625,40.17456,1655.46,683.7101449275362,671.8913043478261,470.536231884058,791.5289855072465,551.3550724637681,691.1666666666667,775.8913043478261,366.81159420289856
ONAQ,ONAQ_062,Onaqui NEON,tower,-112.453555,40.17428,1652.67,649.3309352517986,618.273381294964,451.05755395683457,762.1942446043166,527.2517985611511,671.3309352517986,742.0359712230216,356.05755395683457
ONAQ,ONAQ_065,Onaqui NEON,tower,-112.453164,40.172683,1650.65,1865.8143712574852,1647.5808383233536,1384.0179640718566,1346.0239520958087,1700.4850299401198,1942.7604790419168,2267.281437125749,444.67664670658695
ONAQ,ONAQ_066,Onaqui NEON,tower,-112.455699,40.175617,1659.64,677,689.0361445783133,517.3734939759037,831.3132530120483,533.8433734939758,707.7831325301205,801.6265060240964,372.46987951807233
ONAQ,ONAQ_068,Onaqui NEON,tower,-112.452818,40.173226,1650.18,1599.4675324675322,1516.038961038961,1165.4740259740258,2302.084415584415,1386.5324675324673,1633.1493506493505,1919.3636363636358,1276.564935064935
ONAQ,ONAQ_069,Onaqui NEON,tower,-112.456091,40.176947,1662.93,773,691.31884057971,561.4927536231884,905.9565217391304,659.4057971014493,803.7681159420289,945.9855072463768,380.3623188405797
ONAQ,ONAQ_070,Onaqui NEON,tower,-112.451756,40.174036,1648.28,724.1726618705037,672.2374100719425,482.63309352517985,808.3021582733813,554.3597122302158,714.3453237410073,813.7625899280575,376.53237410071944
ONAQ,ONAQ_045,Onaqui NEON,tower,-112.454237,40.1732,1652.93,2120.3211678832117,1923.883211678832,1487.5766423357666,1258.14598540146,1843.5182481751824,2102.4744525547444,2488.299270072993,454.8759124087591
ONAQ,ONAQ_046,Onaqui NEON,tower,-112.455001,40.175373,1657.53,673.443113772455,672.7065868263472,503.1317365269461,807.6586826347307,528.6167664670659,711.8203592814372,794.8143712574852,371.49101796407183
ONAQ,ONAQ_047,Onaqui NEON,tower,-112.452516,40.175101,1651.76,728.4039735099337,665.662251655629,491.1390728476821,818.7152317880794,542.4304635761589,707.8609271523178,820.2847682119204,368.94039735099335
ONAQ,ONAQ_048,Onaqui NEON,tower,-112.458513,40.176113,1665.97,852.7701863354037,827.7950310559008,589.2422360248447,1806.4782608695652,697.1180124223604,908.7391304347826,1038,966.9503105590062
ONAQ,ONAQ_049,Onaqui NEON,tower,-112.451763,40.172961,1647.59,1130.6861313868612,1101.058394160584,780.3868613138686,1319.4160583941607,954.0218978102189,1143.6934306569344,1400.8759124087592,471.8686131386861
ONAQ,ONAQ_050,Onaqui NEON,tower,-112.454652,40.17589,1657.68,658.9205298013246,656.2450331125829,488.19205298013253,796.271523178808,538.1059602649007,693.3245033112582,782.2185430463577,356.62251655629143
ONAQ,ONAQ_051,Onaqui NEON,tower,-112.455004,40.176961,1660.46,771.6951219512194,698.109756097561,543.8780487804878,919.6341463414634,674.5243902439024,810.6463414634146,932,382.5243902439024
ONAQ,ONAQ_052,Onaqui NEON,tower,-112.455327,40.174272,1656.56,848.4142857142857,759.7571428571429,545.1714285714286,964.1,638.7571428571428,821.242857142857,960.2571428571429,386.4571428571428
ONAQ,ONAQ_054,Onaqui NEON,tower,-112.453539,40.173754,1652.29,933.251572327044,817.3207547169812,618.7987421383648,1973.440251572327,781.62893081761,903.4025157232705,1147.3333333333335,1133.2138364779876
ONAQ,ONAQ_055,Onaqui NEON,tower,-112.456719,40.175325,1661.64,665,698,502,825,529,721,793,381
ONAQ,ONAQ_056,Onaqui NEON,tower,-112.454943,40.173457,1654.36,973.0416666666666,899.0416666666666,659.875,2453.767857142857,840.4285714285716,1029.0059523809525,1319.0119047619048,1310.0059523809523
ONAQ,ONAQ_057,Onaqui NEON,tower,-112.457778,40.174232,1661.09,658.9878787878788,703.0242424242424,480.0969696969697,788.1575757575758,528.0969696969697,687.1454545454546,791.0121212121212,362.0121212121212
ONAQ,ONAQ_059,Onaqui NEON,tower,-112.457123,40.175884,1663.23,653.3333333333334,684.2424242424244,487.39393939393943,813.1818181818182,525.3939393939395,702.2727272727273,767.8181818181819,372.4545454545455
BLAN,BLAN_036,Blandy Experimental Farm NEON,tower,-78.073985,39.061573,183.76,4043.051851851852,4419.511111111112,3759.2962962962965,4221.696296296296,3458.4370370370366,4125.911111111111,4172.762962962964,4191.348148148148
BLAN,BLAN_037,Blandy Experimental Farm NEON,tower,-78.070165,39.059338,179.61,3912.3178807947015,4015.0132450331125,3968.158940397351,11696.900662251655,3132.4701986754967,4437.48344370861,4441.0463576158945,10657.576158940397
BLAN,BLAN_039,Blandy Experimental Farm NEON,tower,-78.071971,39.057487,184.45,3980.722627737226,4412.503649635037,4060.4160583941607,11614.496350364963,3222.372262773723,4414.204379562044,4565.591240875913,10658.92700729927
BLAN,BLAN_040,Blandy Experimental Farm NEON,tower,-78.070217,39.057986,180.29,4060.475609756097,4631.6463414634145,4165.756097560975,10038.146341463415,3201.6585365853653,4273.170731707317,4579.7317073170725,10526.329268292682
BLAN,BLAN_042,Blandy Experimental Farm NEON,tower,-78.071954,39.058017,185.23,4100.111111111111,4539.888888888889,4182.777777777778,11622.111111111111,3300.666666666667,4351.333333333333,4653,10964.333333333334
